SUMMARY METRICS,Fixed Workflow,Agent Loop,Delta
Pass Rate (%),90.0%,80.0%,-10.0%
p50 Latency (ms),931.6,3328.5,3.57x slower
Total Tokens,3466,41605,12.00x tokens
Cost per Claim ($),0.000032,0.000341,10.48x cost

Claim ID,System,Status,Claimed ($),Deductible ($),Disallowed ($),Payable ($),Passed,Tokens Used,Cost ($),Latency (ms),Steps Executed
CLM-2024-7001,Agent,APPROVED,4800.0,1000.0,0.0,3800.0,True,4503,0.000368,3397.6,"get_claim({'claim_id': 'CLM-2024-7001'}); get_adjuster_notes({'claim_id': 'CLM-2024-7001'}); search_policy_exclusions({'cause_of_loss': 'sudden pipe burst', 'policy_form': 'HO-0304'}); compute_payout({'claim_status': 'APPROVED', 'claimed_amount': 4800, 'deductible': 1000})"
CLM-2024-7002,Agent,DENIED,12000.0,1500.0,12000.0,0.0,True,4506,0.000371,3259.5,"get_claim({'claim_id': 'CLM-2024-7002'}); get_adjuster_notes({'claim_id': 'CLM-2024-7002'}); search_policy_exclusions({'policy_form': 'HO-0304', 'cause_of_loss': 'flood and surface water'}); compute_payout({'disallowed_amount': 12000, 'deductible': 1500, 'claim_status': 'DENIED', 'claimed_amount': 12000})"
CLM-2024-7003,Agent,DENIED,8500.0,1000.0,8500.0,0.0,True,4505,0.000370,3211.6,"get_claim({'claim_id': 'CLM-2024-7003'}); get_adjuster_notes({'claim_id': 'CLM-2024-7003'}); search_policy_exclusions({'policy_form': 'HO-0304', 'cause_of_loss': 'gradual seepage'}); compute_payout({'deductible': 1000, 'claim_status': 'DENIED', 'claimed_amount': 8500, 'disallowed_amount': 8500})"
CLM-2024-7004,Agent,BUDGET_EXCEEDED,5200.0,1000.0,0.0,0.0,False,1972,0.000161,48017.4,get_claim({'claim_id': 'CLM-2024-7004'}); get_adjuster_notes({'claim_id': 'CLM-2024-7004'})
CLM-2024-7005,Agent,APPROVED,9400.0,1500.0,0.0,7900.0,False,7348,0.000597,5042.1,"get_claim({'claim_id': 'CLM-2024-7005'}); get_adjuster_notes({'claim_id': 'CLM-2024-7005'}); search_policy_exclusions({'policy_form': 'HO-0304', 'cause_of_loss': 'water backup'}); search_policy_exclusions({'policy_form': 'HO-0304', 'cause_of_loss': 'surface water'}); search_policy_exclusions({'cause_of_loss': 'flood', 'policy_form': 'HO-0304'}); compute_payout({'claimed_amount': 9400, 'deductible': 1500, 'claim_status': 'APPROVED'})"
CLM-2024-7006,Agent,APPROVED,6500.0,1000.0,0.0,5500.0,True,3179,0.000260,2473.0,"get_claim({'claim_id': 'CLM-2024-7006'}); get_adjuster_notes({'claim_id': 'CLM-2024-7006'}); compute_payout({'claim_status': 'APPROVED', 'deductible': 1000, 'claimed_amount': 6500})"
CLM-2024-7007,Agent,PARTIAL_APPROVAL,7500.0,1000.0,2000.0,4500.0,True,4594,0.000378,3252.7,"get_claim({'claim_id': 'CLM-2024-7007'}); get_adjuster_notes({'claim_id': 'CLM-2024-7007'}); search_policy_exclusions({'cause_of_loss': 'pre-existing wear and rot', 'policy_form': 'HO-0304'}); compute_payout({'claim_status': 'PARTIAL_APPROVAL', 'disallowed_amount': 2000, 'claimed_amount': 7500, 'deductible': 1000})"
CLM-2024-7008,Agent,APPROVED,650.0,1000.0,0.0,0.0,True,3182,0.000260,34695.1,"get_claim({'claim_id': 'CLM-2024-7008'}); get_adjuster_notes({'claim_id': 'CLM-2024-7008'}); compute_payout({'deductible': 1000, 'claim_status': 'APPROVED', 'claimed_amount': 650})"
CLM-2024-7009,Agent,PENDING_INVESTIGATION,5800.0,1000.0,0.0,0.0,True,3172,0.000260,2467.5,"get_claim({'claim_id': 'CLM-2024-7009'}); get_adjuster_notes({'claim_id': 'CLM-2024-7009'}); compute_payout({'claim_status': 'PENDING_INVESTIGATION', 'deductible': 1000, 'claimed_amount': 5800})"
CLM-2024-7010,Agent,PARTIAL_APPROVAL,4000.0,500.0,1500.0,2000.0,True,4644,0.000381,3755.3,"get_claim({'claim_id': 'CLM-2024-7010'}); get_adjuster_notes({'claim_id': 'CLM-2024-7010'}); search_policy_exclusions({'cause_of_loss': 'Pairs and Sets', 'policy_form': 'HO-0309'}); compute_payout({'disallowed_amount': 1500, 'claimed_amount': 4000, 'deductible': 500, 'claim_status': 'PARTIAL_APPROVAL'})"
